,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team,
11,05/10/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,1,0,Monterrey,0.5,0.9,44,,Javier Güemez,03/05/2002,4-2-3-1,Víctor Cáceres,Match Report,,9,4,20.3,0,0,0,2024,Atletico,
12,20/10/2024,13:00,Liga MX,Apertura 2024 Regular Season,Sun,Away,L,0,3,UNAM,0.8,2.3,55,,Javier Güemez,3-5-1-1,05/03/2002,Guillermo Pacheco,Match Report,,14,4,23,0,0,0,2024,Atletico,
0,05/07/2024,21:10,Liga MX,Apertura 2024 Regular Season,Fri,Away,D,2,2,FC Juárez,1,1.1,43,7046,Aldo Rocha,4-2-3-1,4-1-4-1,,Match Report,,11,3,17.8,1,0,0,2024,Atlas,
1,12/07/2024,21:05,Liga MX,Apertura 2024 Regular Season,Fri,Home,D,1,1,UANL,0.6,1.6,45,,Aldo Rocha,4-2-3-1,4-2-3-1,,Match Report,,10,3,17.5,0,0,0,2024,Atlas,
2,16/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Home,W,1,0,Santos,2,0.1,50,,Aldo Rocha,4-2-3-1,4-2-3-1,,Match Report,,22,4,15.7,0,0,0,2024,Atlas,
3,19/07/2024,21:05,Liga MX,Apertura 2024 Regular Season,Fri,Away,W,2,1,Puebla,0.8,0.8,44,,Aldo Rocha,4-2-3-1,4-1-4-1,,Match Report,,7,3,13.8,0,0,0,2024,Atlas,
4,24/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,2,1,UNAM,1,1.9,43,,Aldo Rocha,4-2-3-1,04/03/2003,,Match Report,,12,4,16.8,0,0,0,2024,Atlas,
5,30/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,1,2,Atlético,1.5,0.8,50,,Aldo Rocha,4-2-3-1,4-2-3-1,Jorge Camacho,Match Report,,11,4,18.6,1,0,0,2024,Atlas,
6,13/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,2,0,Pachuca,1.1,0.3,56,,Aldo Rocha,4-2-3-1,4-2-3-1,Luis Enrique Santander,Match Report,,11,3,23,2,0,0,2024,Atlas,
7,17/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Away,L,0,3,América,0.6,1.3,42,,Aldo Rocha,4-2-3-1,04/03/2003,Adonai Escobedo,Match Report,,6,1,29.9,0,0,0,2024,Atlas,
8,20/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,L,0,1,Querétaro,1,1,70,,Aldo Rocha,4-2-3-1,4-1-4-1,Jesus Lopez,Match Report,,19,3,20.6,0,0,0,2024,Atlas,
9,28/09/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,1,4,Toluca,1.5,0.8,49,,Aldo Rocha,4-2-3-1,4-2-3-1,Charles Terrazas,Match Report,,17,3,24.1,1,0,0,2024,Atlas,
10,05/10/2024,19:05,Liga MX,Apertura 2024 Regular Season,Sat,Away,W,3,2,Guadalajara,1.3,1.2,30,,Aldo Rocha,4-2-3-1,4-1-4-1,Fernando Hernández,Match Report,,10,3,17.4,1,0,0,2024,Atlas,
11,18/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,D,0,0,Mazatlán,0.9,0.7,50,,Aldo Rocha,4-2-3-1,05/04/2001,Daniel Quintero,Match Report,,14,3,19.9,1,0,0,2024,Atlas,
12,23/10/2024,21:00,Liga MX,Apertura 2024 Regular Season,Wed,Away,D,0,0,León,0.2,1.1,38,,Aldo Rocha,4-2-3-1,04/04/2002,Oscar Mejia,Match Report,,5,0,24.4,0,0,0,2024,Atlas,
0,06/07/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,1,2,Atlético,1.1,1.2,63,21480,Henry Martín,4-2-3-1,03/04/2003,,Match Report,,11,6,20.9,1,0,0,2024,America,
1,12/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,3,1,Querétaro,2.2,0.5,59,9997,Henry Martín,04/04/2002,05/04/2001,,Match Report,,11,4,14.6,0,0,0,2024,America,
2,17/07/2024,21:00,Liga MX,Apertura 2024 Regular Season,Wed,Away,L,0,1,UANL,1.6,1.1,46,,Henry Martín,4-2-3-1,04/04/2002,,Match Report,,12,4,15.9,1,0,0,2024,America,
3,20/07/2024,21:10,Liga MX,Apertura 2024 Regular Season,Sat,Away,W,2,1,FC Juárez,2.4,0.4,58,,Henry Martín,4-2-3-1,4-2-3-1,,Match Report,,19,7,17.2,0,0,0,2024,America,
4,24/08/2024,21:05,Liga MX,Apertura 2024 Regular Season,Sat,Home,L,0,1,Puebla,1.7,0.6,70,,Henry Martín,4-2-3-1,05/04/2001,,Match Report,,21,4,18.7,0,0,0,2024,America,
5,31/08/2024,21:10,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,1,4,Cruz Azul,0.7,0.9,46,,Henry Martín,03/04/2003,3-1-4-2,César Arturo Ramos,Match Report,,12,3,21.5,0,0,0,2024,America,
6,14/09/2024,18:50,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,1,0,Guadalajara,0.5,0.8,33,,Henry Martín,04/04/2002,4-2-3-1,Víctor Cáceres,Match Report,,9,2,22.1,0,0,0,2024,America,
7,17/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Home,W,3,0,Atlas,1.3,0.6,58,,Álvaro Fidalgo,04/03/2003,4-2-3-1,Adonai Escobedo,Match Report,,13,7,19.3,1,0,0,2024,America,
8,21/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,D,1,1,Necaxa,1.5,1.1,74,,Henry Martín,4-2-3-1,4-2-3-1,Oscar Mejia,Match Report,,18,6,18.3,1,0,0,2024,America,
9,29/09/2024,18:00,Liga MX,Apertura 2024 Regular Season,Sun,Home,L,0,1,UNAM,0.4,0.8,69,23401,Álvaro Fidalgo,3-4-1-2,3-4-1-2,Fernando Hernández,Match Report,,12,5,23,2,0,0,2024,America,
10,05/10/2024,21:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,D,1,1,León,1.2,0.6,65,,Henry Martín,4-2-3-1,04/04/2002,César Arturo Ramos,Match Report,,14,5,18.9,0,0,0,2024,America,
11,19/10/2024,19:05,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,3,0,Santos,2.8,0.2,71,,Jonathan dos Santos,03/04/2003,4-1-3-2,Jesus Lopez,Match Report,,27,7,15.3,0,0,0,2024,America,
12,23/10/2024,20:05,Liga MX,Apertura 2024 Regular Season,Wed,Away,D,2,2,Tijuana,0.9,1.3,38,,Henry Martín,4-2-3-1,4-2-3-1,Fernando Hernández,Match Report,,17,10,17.5,0,0,0,2024,America,
0,06/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,1,UANL,0.7,1.7,44,40371,Alexis Francisco Peña,4-2-3-1,4-2-3-1,,Match Report,,10,3,16.1,0,0,0,2024,Necaxa,
1,13/07/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,4,1,Puebla,2.4,0.9,46,13540,Alexis Francisco Peña,4-2-3-1,4-1-4-1,Abraham Quirarte,Match Report,,24,9,19.7,0,0,0,2024,Necaxa,
2,17/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Wed,Home,L,0,1,Monterrey,0.3,0.8,37,,Alexis Francisco Peña,4-2-3-1,4-2-3-1,,Match Report,,10,1,21.8,0,0,0,2024,Necaxa,
3,21/07/2024,19:05,Liga MX,Apertura 2024 Regular Season,Sun,Away,D,1,1,León,0.4,1.7,34,,Fernando Arce Jr.,05/03/2002,4-1-4-1,,Match Report,,6,4,12.6,0,0,0,2024,Necaxa,
4,24/08/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,3,0,FC Juárez,1.9,0.8,31,,Ezequiel Unsain,4-2-3-1,4-2-3-1,,Match Report,,12,6,18.5,0,1,1,2024,Necaxa,
5,01/09/2024,19:05,Liga MX,Apertura 2024 Regular Season,Sun,Away,L,2,3,Santos,3.3,1.6,34,,Ezequiel Unsain,4-2-3-1,04/04/2002,Guillermo Pacheco,Match Report,,18,5,19.2,0,1,1,2024,Necaxa,
6,13/09/2024,21:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,2,0,UNAM,1.6,1,28,,Ezequiel Unsain,4-2-3-1,03/04/2003,Katia García,Match Report,,14,6,17.3,2,0,0,2024,Necaxa,
7,18/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Wed,Away,D,0,0,Mazatlán,0.2,1.1,38,,Ezequiel Unsain,4-2-3-1,03/04/2003,Daniel Quintero,Match Report,,6,1,25.7,0,0,0,2024,Necaxa,
8,21/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,1,1,América,1.1,1.5,26,,Ezequiel Unsain,4-2-3-1,4-2-3-1,Oscar Mejia,Match Report,,11,3,22.9,1,0,0,2024,Necaxa,
9,27/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,D,0,0,Querétaro,1.3,0.5,43,7844,Ezequiel Unsain,4-2-3-1,4-1-4-1,Jorge Camacho,Match Report,,23,5,21.1,1,0,0,2024,Necaxa,
10,05/10/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,3,Cruz Azul,0.7,1.9,32,,Ezequiel Unsain,4-3-1-2,3-1-4-2,Guillermo Pacheco,Match Report,,6,1,16.1,0,0,0,2024,Necaxa,
11,18/10/2024,21:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,L,1,2,Tijuana,2.6,1.6,46,,Ezequiel Unsain,3-4-1-2,03/04/2003,Adonai Escobedo,Match Report,,23,6,18.6,0,1,1,2024,Necaxa,
12,22/10/2024,19:05,Liga MX,Apertura 2024 Regular Season,Tue,Away,L,2,3,Guadalajara,1.2,1.9,40,31120,Ezequiel Unsain,3-4-1-2,05/03/2002,Víctor Cáceres,Match Report,,9,6,17.9,0,0,0,2024,Necaxa,
0,07/07/2024,13:00,Liga MX,Apertura 2024 Regular Season,Sun,Away,L,1,4,UNAM,0.7,2.1,50,19950,Fidel Ambríz,4-2-3-1,4-1-4-1,,Match Report,,9,3,27.2,0,0,0,2024,Leon,
1,13/07/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,0,0,Pachuca,0.3,0.9,57,13279,Fidel Ambríz,4-2-3-1,4-2-3-1,,Match Report,,11,5,24.1,1,0,0,2024,Leon,
2,16/07/2024,21:00,Liga MX,Apertura 2024 Regular Season,Tue,Away,D,2,2,Puebla,0.7,2.7,61,,Fidel Ambríz,3-1-4-2,4-1-4-1,,Match Report,,9,6,21.2,1,0,0,2024,Leon,
3,21/07/2024,19:05,Liga MX,Apertura 2024 Regular Season,Sun,Home,D,1,1,Necaxa,1.7,0.4,66,,Fidel Ambríz,4-1-4-1,05/03/2002,,Match Report,,18,3,19,0,1,1,2024,Leon,
4,24/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,1,1,Santos,2.4,0.8,60,,Fidel Ambríz,4-2-3-1,04/04/2002,,Match Report,,25,6,18.4,1,0,0,2024,Leon,
5,30/08/2024,20:05,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,1,2,Tijuana,0.4,1.6,28,,Andrés Guardado,4-1-2-1-2◆,4-1-4-1,Víctor Cáceres,Match Report,,8,3,22.2,0,0,0,2024,Leon,
6,14/09/2024,20:35,Liga MX,Apertura 2024 Regular Season,Sat,Home,L,1,2,Cruz Azul,1.3,2,43,,Andrés Guardado,4-1-2-1-2◆,3-1-4-2,Maximiliano Quintero,Match Report,,9,4,14.9,0,0,0,2024,Leon,
7,18/09/2024,19:05,Liga MX,Apertura 2024 Regular Season,Wed,Away,L,0,2,Guadalajara,0.8,1.4,54,,Andrés Guardado,04/04/2002,4-2-3-1,Guillermo Pacheco,Match Report,,10,4,20.5,1,0,0,2024,Leon,
8,21/09/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,1,0,Atlético,1.2,1.3,49,,Jaine Barreiro,04/04/2002,4-3-1-2,Luis García,Match Report,,13,4,16.6,0,0,0,2024,Leon,
9,27/09/2024,20:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,D,2,2,UANL,0.7,2.2,36,,Andrés Guardado,04/04/2002,4-2-3-1,Daniel Quintero,Match Report,,10,5,18.2,1,0,0,2024,Leon,
10,05/10/2024,21:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,1,1,América,0.6,1.2,35,,Andrés Guardado,04/04/2002,4-2-3-1,César Arturo Ramos,Match Report,,10,3,19.9,0,0,0,2024,Leon,
11,19/10/2024,19:06,Liga MX,Apertura 2024 Regular Season,Sat,Away,W,3,2,FC Juárez,0.6,1.1,50,,Andrés Guardado,04/04/2002,04/04/2002,Víctor Cáceres,Match Report,,10,4,21.5,0,0,0,2024,Leon,
12,23/10/2024,21:00,Liga MX,Apertura 2024 Regular Season,Wed,Home,D,0,0,Atlas,1.1,0.2,62,,Andrés Guardado,04/04/2002,4-2-3-1,Oscar Mejia,Match Report,,17,6,18.7,0,0,0,2024,Leon,
0,06/07/2024,21:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,1,Cruz Azul,0.6,2,35,15206,Hugo González Durán,4-2-3-1,05/04/2001,,Match Report,,8,1,17,0,0,0,2024,Mazatlan,
1,12/07/2024,20:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,D,2,2,Atlético,3.1,1.9,53,,Hugo González Durán,4-2-3-1,03/04/2003,,Match Report,,17,4,17.7,0,0,1,2024,Mazatlan,
2,17/07/2024,21:00,Liga MX,Apertura 2024 Regular Season,Wed,Away,L,0,3,Toluca,0.4,1.2,46,,Hugo González Durán,04/04/2002,4-2-3-1,,Match Report,,7,2,20.8,0,0,0,2024,Mazatlan,
3,20/07/2024,17:05,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,2,Guadalajara,1,0.7,45,,Hugo González Durán,04/04/2002,4-1-4-1,,Match Report,,10,4,23.7,1,0,0,2024,Mazatlan,
4,23/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,3,0,Pachuca,3.1,0.4,63,,Hugo González Durán,03/04/2003,4-2-3-1,,Match Report,,26,10,18.8,0,0,0,2024,Mazatlan,
5,30/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,D,1,1,Puebla,2.1,0.3,68,,Hugo González Durán,03/04/2003,05/04/2001,Ismael Lopez,Match Report,,24,7,17.6,0,0,0,2024,Mazatlan,
6,13/09/2024,20:10,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,0,1,FC Juárez,1.3,0.9,63,,Hugo González Durán,03/04/2003,4-2-3-1,Fernando Hernández,Match Report,,17,5,20.1,1,0,0,2024,Mazatlan,
7,18/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Wed,Home,D,0,0,Necaxa,1.1,0.2,62,,Hugo González Durán,03/04/2003,4-2-3-1,Daniel Quintero,Match Report,,15,3,21.8,1,0,0,2024,Mazatlan,
8,21/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,D,0,0,Monterrey,2.1,0.2,56,43721,Hugo González Durán,3-4-1-2,4-3-1-2,Ismael Lopez,Match Report,,16,5,16.3,0,0,0,2024,Mazatlan,
9,27/09/2024,20:05,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,0,1,Tijuana,0.6,1,36,,Hugo González Durán,05/04/2001,4-2-3-1,Víctor Cáceres,Match Report,,9,3,19.7,0,0,0,2024,Mazatlan,
10,04/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,D,2,2,Querétaro,1.4,2.1,45,7773,Hugo González Durán,03/05/2002,4-2-3-1,Oscar Mejia,Match Report,,13,5,19.3,1,0,0,2024,Mazatlan,
11,18/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,D,0,0,Atlas,0.7,0.9,50,,Hugo González Durán,05/04/2001,4-2-3-1,Daniel Quintero,Match Report,,11,4,19.1,1,0,0,2024,Mazatlan,
12,22/10/2024,20:06,Liga MX,Apertura 2024 Regular Season,Tue,Home,W,2,0,UANL,0.8,2.3,42,,Hugo González Durán,05/04/2001,4-2-3-1,César Arturo Ramos,Match Report,,13,5,17.5,0,0,0,2024,Mazatlan,
0,05/07/2024,16:45,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,1,0,Santos,1.5,0.5,41,8331,Diego De Buen,4-1-4-1,4-2-3-1,,Match Report,,15,4,19.5,0,1,1,2024,Puebla,
1,13/07/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,1,4,Necaxa,0.9,2.4,54,13540,Diego De Buen,4-1-4-1,4-2-3-1,Abraham Quirarte,Match Report,,17,5,17.7,1,0,0,2024,Puebla,
2,16/07/2024,21:00,Liga MX,Apertura 2024 Regular Season,Tue,Home,D,2,2,León,2.7,0.7,39,,Diego De Buen,4-1-4-1,3-1-4-2,,Match Report,,21,7,20.9,0,1,1,2024,Puebla,
3,19/07/2024,21:05,Liga MX,Apertura 2024 Regular Season,Fri,Home,L,1,2,Atlas,0.8,0.8,56,,Diego De Buen,4-1-4-1,4-2-3-1,,Match Report,,15,2,24.4,1,0,0,2024,Puebla,
4,16/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,L,1,2,Monterrey,1,1.4,29,,Diego De Buen,05/04/2001,4-2-3-1,,Match Report,,14,6,18.5,0,0,0,2024,Puebla,
5,24/08/2024,21:05,Liga MX,Apertura 2024 Regular Season,Sat,Away,W,1,0,América,0.6,1.7,30,,Diego De Buen,05/04/2001,4-2-3-1,,Match Report,,11,2,21.2,0,0,0,2024,Puebla,
6,30/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,D,1,1,Mazatlán,0.3,2.1,32,,Diego De Buen,05/04/2001,03/04/2003,Ismael Lopez,Match Report,,3,3,24.2,0,0,0,2024,Puebla,
7,13/09/2024,18:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,2,1,Querétaro,1.6,0.6,49,8266,Diego De Buen,04/04/2002,4-2-3-1,Vicente Arce,Match Report,,16,6,26.7,2,1,1,2024,Puebla,
8,17/09/2024,21:05,Liga MX,Apertura 2024 Regular Season,Tue,Away,L,0,1,UNAM,0.3,2.1,28,,Diego De Buen,4-2-3-1,03/04/2003,Iván López,Match Report,,6,4,27.2,0,0,0,2024,Puebla,
9,20/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,L,2,3,Pachuca,1.5,1.2,39,,Diego De Buen,4-2-3-1,4-2-3-1,Maximiliano Quintero,Match Report,,9,4,19.4,0,0,0,2024,Puebla,
10,27/09/2024,18:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,L,2,3,FC Juárez,3.2,1.2,51,,Diego De Buen,4-2-3-1,04/04/2002,Oscar Mejia,Match Report,,19,5,17.8,0,1,1,2024,Puebla,
11,05/10/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,1,UANL,0.6,0.7,39,,Diego De Buen,05/03/2002,4-2-3-1,Vicente Arce,Match Report,,12,2,24.5,0,0,0,2024,Puebla,
12,18/10/2024,21:05,Liga MX,Apertura 2024 Regular Season,Fri,Home,L,1,2,Cruz Azul,0.4,2.4,38,,Diego De Buen,05/03/2002,3-1-4-2,Charles Terrazas,Match Report,,8,3,29.8,0,0,0,2024,Puebla,
13,22/10/2024,21:05,Liga MX,Apertura 2024 Regular Season,Tue,Away,L,0,5,Toluca,0.4,2.8,41,,Diego De Buen,03/05/2002,03/04/2003,Jorge Camacho,Match Report,,12,2,23.8,0,0,0,2024,Puebla,
0,07/07/2024,19:06,Liga MX,Apertura 2024 Regular Season,Sun,Home,L,0,1,Monterrey,0.9,1.7,56,,Gustavo Cabral,4-2-3-1,04/04/2002,,Match Report,,17,3,19.8,0,0,0,2024,Pachuca,
1,13/07/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,D,0,0,León,0.9,0.3,43,13279,Gustavo Cabral,4-2-3-1,4-2-3-1,,Match Report,,9,3,20.4,0,0,0,2024,Pachuca,
2,16/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Home,W,2,0,Atlético,0.8,0.4,43,,Carlos Moreno,4-2-3-1,04/04/2002,,Match Report,,10,3,23.8,0,0,0,2024,Pachuca,
3,21/07/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sun,Away,L,0,2,UNAM,0.8,2,61,,Gustavo Cabral,4-2-3-1,4-2-3-1,,Match Report,,12,2,17.8,0,0,0,2024,Pachuca,
4,23/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,0,3,Mazatlán,0.4,3.1,37,,Gustavo Cabral,4-2-3-1,03/04/2003,,Match Report,,5,3,20.1,0,0,0,2024,Pachuca,
5,31/08/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,1,1,Querétaro,2.3,0.1,69,,Carlos Moreno,4-2-3-1,4-1-4-1,Iván López,Match Report,,21,5,23.1,0,0,1,2024,Pachuca,
6,13/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,0,2,Atlas,0.3,1.1,44,,Carlos Moreno,4-2-3-1,4-2-3-1,Luis Enrique Santander,Match Report,,6,2,19.8,1,0,0,2024,Pachuca,
7,17/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Home,D,2,2,Toluca,1.2,1.8,43,,Salomón Rondón,4-2-3-1,4-2-3-1,Jesus Lopez,Match Report,,12,6,19.9,0,0,0,2024,Pachuca,
8,20/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,W,3,2,Puebla,1.2,1.5,61,,Gustavo Cabral,4-2-3-1,4-2-3-1,Maximiliano Quintero,Match Report,,18,4,23.4,0,0,0,2024,Pachuca,
9,28/09/2024,19:05,Liga MX,Apertura 2024 Regular Season,Sat,Home,L,2,4,Cruz Azul,1.8,2.4,30,,Gustavo Cabral,4-1-4-1,3-1-4-2,Adonai Escobedo,Match Report,,12,5,20.6,0,0,0,2024,Pachuca,
10,04/10/2024,20:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,1,2,Tijuana,1.1,0.8,42,,Gustavo Cabral,4-2-3-1,4-2-3-1,Iván López,Match Report,,12,1,20.3,0,0,0,2024,Pachuca,
11,19/10/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,L,0,2,Guadalajara,1,0.3,54,,Salomón Rondón,4-2-3-1,05/03/2002,César Arturo Ramos,Match Report,,22,7,24.4,3,0,0,2024,Pachuca,
12,22/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Away,D,1,1,Santos,1.8,1.1,47,6531,Carlos Moreno,4-2-3-1,4-2-3-1,Daniel Quintero,Match Report,,24,3,18.5,0,0,0,2024,Pachuca,
0,05/07/2024,21:10,Liga MX,Apertura 2024 Regular Season,Fri,Home,D,2,2,Atlas,1.1,1,57,7046,Dieter Villalpando,4-1-4-1,4-2-3-1,,Match Report,,10,1,25.3,1,1,1,2024,FC Juarez,
1,13/07/2024,19:10,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,2,3,Toluca,1.1,2,54,23320,Francisco Calvo,4-2-3-1,4-2-3-1,,Match Report,,10,5,14.8,0,0,0,2024,FC Juarez,
2,17/07/2024,19:06,Liga MX,Apertura 2024 Regular Season,Wed,Home,L,1,2,UNAM,0.9,0.5,50,,Francisco Calvo,4-2-3-1,4-2-3-1,,Match Report,,11,4,18,0,0,0,2024,FC Juarez,
3,20/07/2024,21:10,Liga MX,Apertura 2024 Regular Season,Sat,Home,L,1,2,América,0.4,2.4,42,,Francisco Calvo,4-2-3-1,4-2-3-1,,Match Report,,9,6,26.3,0,0,0,2024,FC Juarez,
4,24/08/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,3,Necaxa,0.8,1.9,69,,Dieter Villalpando,4-2-3-1,4-2-3-1,,Match Report,,14,2,19.4,0,0,0,2024,FC Juarez,
5,31/08/2024,17:05,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,5,Guadalajara,1.2,3.3,44,,Carlos Salcedo,4-2-3-1,4-1-4-1,Adonai Escobedo,Match Report,,12,3,15.2,0,0,0,2024,FC Juarez,
6,13/09/2024,20:10,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,1,0,Mazatlán,0.9,1.3,37,,Dieter Villalpando,4-2-3-1,03/04/2003,Fernando Hernández,Match Report,,12,3,17.8,0,0,0,2024,FC Juarez,
7,18/09/2024,21:00,Liga MX,Apertura 2024 Regular Season,Wed,Away,L,2,3,Monterrey,2.1,2.7,45,,Carlos Salcedo,4-2-3-1,4-1-3-2,Salvador Pérez Villalobos,Match Report,,15,4,15.4,0,0,0,2024,FC Juarez,
8,22/09/2024,19:10,Liga MX,Apertura 2024 Regular Season,Sun,Home,L,0,1,UANL,0.3,1.9,44,,Carlos Salcedo,4-2-3-1,4-2-3-1,Víctor Cáceres,Match Report,,9,1,21.9,1,0,0,2024,FC Juarez,
9,27/09/2024,18:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,W,3,2,Puebla,1.2,3.2,49,,Carlos Salcedo,04/04/2002,4-2-3-1,Oscar Mejia,Match Report,,10,5,23.1,2,1,1,2024,FC Juarez,
10,06/10/2024,20:05,Liga MX,Apertura 2024 Regular Season,Sun,Away,W,2,0,Santos,1.5,0.9,43,,Carlos Salcedo,4-4-1-1,4-2-3-1,Ismael Lopez,Match Report,,13,4,18.8,0,0,0,2024,FC Juarez,
11,19/10/2024,19:06,Liga MX,Apertura 2024 Regular Season,Sat,Home,L,2,3,León,1.1,0.6,50,,Carlos Salcedo,04/04/2002,04/04/2002,Víctor Cáceres,Match Report,,16,6,19,2,0,0,2024,FC Juarez,
12,23/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Wed,Away,L,0,4,Cruz Azul,0.3,2.9,37,,Carlos Salcedo,04/03/2003,03/04/2003,Vicente Arce,Match Report,,11,3,31.9,1,0,0,2024,FC Juarez,
0,05/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,L,1,2,Tijuana,0.8,2.1,38,9237,Kevin Escamilla,04/04/2002,4-2-3-1,,Match Report,,9,5,17.5,1,0,0,2024,Queretaro,
1,12/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,1,3,América,0.5,2.2,41,9997,Kevin Escamilla,05/04/2001,04/04/2002,,Match Report,,9,1,18.4,0,0,0,2024,Queretaro,
2,16/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Home,L,0,2,Guadalajara,0.6,2.2,43,,Kevin Escamilla,05/04/2001,4-2-3-1,,Match Report,,15,3,23,0,0,0,2024,Queretaro,
3,20/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,1,2,Monterrey,1,2.4,35,,Pablo Barrera,05/04/2001,4-2-3-1,,Match Report,,6,3,23,0,0,0,2024,Queretaro,
4,18/08/2024,20:00,Liga MX,Apertura 2024 Regular Season,Sun,Away,L,0,4,Atlético,0.3,3.3,49,,Kevin Escamilla,04/04/2002,4-2-3-1,,Match Report,,10,1,31.5,0,0,0,2024,Queretaro,
5,23/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,L,0,2,Cruz Azul,0.3,2,37,,Jaime Gómez Valencia,03/05/2002,3-1-4-2,,Match Report,,4,3,16.5,0,0,0,2024,Queretaro,
