,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team,
6,14/09/2024,16:45,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,4,0,Tijuana,3.1,0.9,52,24507,Alexis Vega,4-2-3-1,4-1-4-1,Ismael Lopez,Match Report,,22,9,17.7,1,0,0,2024,Toluca,
7,17/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Away,D,2,2,Pachuca,1.8,1.2,57,,Claudio Baeza,4-2-3-1,4-2-3-1,Jesus Lopez,Match Report,,11,4,21.1,2,1,1,2024,Toluca,
8,22/09/2024,19:05,Liga MX,Apertura 2024 Regular Season,Sun,Away,L,0,2,Santos,0.9,1.4,63,,Marcel Ruiz,4-2-3-1,4-2-3-1,Iván López,Match Report,,18,3,20.7,1,0,0,2024,Toluca,
9,28/09/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,4,1,Atlas,0.8,1.5,51,,Claudio Baeza,4-2-3-1,4-2-3-1,Charles Terrazas,Match Report,,11,5,17.2,0,0,0,2024,Toluca,
10,05/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,1,1,UNAM,0.5,1.2,65,,Claudio Baeza,4-2-3-1,05/03/2002,Adonai Escobedo,Match Report,,11,2,22.2,2,0,0,2024,Toluca,
11,18/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,W,1,0,Querétaro,1.9,0.9,61,,Claudio Baeza,4-2-3-1,4-1-4-1,Maximiliano Quintero,Match Report,,18,8,18.9,0,0,0,2024,Toluca,
12,22/10/2024,21:05,Liga MX,Apertura 2024 Regular Season,Tue,Home,W,5,0,Puebla,2.8,0.4,59,,Claudio Baeza,03/04/2003,03/05/2002,Jorge Camacho,Match Report,,17,11,18.4,0,0,1,2024,Toluca,
0,07/07/2024,19:06,Liga MX,Apertura 2024 Regular Season,Sun,Away,W,1,0,Pachuca,1.7,0.9,44,,Sergio Canales,04/04/2002,4-2-3-1,,Match Report,,8,3,18,0,0,0,2024,Monterrey,
1,13/07/2024,21:10,Liga MX,Apertura 2024 Regular Season,Sat,Home,L,0,4,Cruz Azul,0.4,1.9,46,45957,Sergio Canales,04/04/2002,4-1-4-1,,Match Report,,9,0,22.7,0,0,0,2024,Monterrey,
2,17/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Wed,Away,W,1,0,Necaxa,0.8,0.3,63,,Sergio Canales,4-2-3-1,4-2-3-1,,Match Report,,11,3,20.8,0,0,0,2024,Monterrey,
3,20/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,2,1,Querétaro,2.4,1,65,,Héctor Moreno,4-2-3-1,05/04/2001,,Match Report,,15,5,18.9,1,0,1,2024,Monterrey,
4,16/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,W,2,1,Puebla,1.4,1,71,,Héctor Moreno,4-2-3-1,05/04/2001,,Match Report,,15,5,23.1,0,0,0,2024,Monterrey,
5,23/08/2024,20:05,Liga MX,Apertura 2024 Regular Season,Fri,Away,D,2,2,Tijuana,2.7,1.4,49,,Sergio Canales,4-3-1-2,4-1-4-1,,Match Report,,16,5,18.5,0,0,0,2024,Monterrey,
6,31/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,L,1,2,Toluca,2.5,0.4,67,,Sergio Canales,4-3-1-2,05/04/2001,Fernando Guerrero,Match Report,,15,5,18.2,0,1,1,2024,Monterrey,
7,14/09/2024,21:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,W,2,0,Santos,2.4,1.7,54,,Héctor Moreno,4-3-1-2,4-2-3-1,Erick Miranda,Match Report,,19,7,14.3,0,0,0,2024,Monterrey,
8,18/09/2024,21:00,Liga MX,Apertura 2024 Regular Season,Wed,Home,W,3,2,FC Juárez,2.7,2.1,55,,Héctor Moreno,4-1-3-2,4-2-3-1,Salvador Pérez Villalobos,Match Report,,13,3,18.7,0,1,1,2024,Monterrey,
9,21/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,0,0,Mazatlán,0.2,2.1,44,43721,Héctor Moreno,4-3-1-2,3-4-1-2,Ismael Lopez,Match Report,,5,2,31,0,0,0,2024,Monterrey,
10,28/09/2024,21:05,Liga MX,Apertura 2024 Regular Season,Sat,Away,D,1,1,Guadalajara,0.3,1.8,52,,Héctor Moreno,4-1-2-1-2◆,4-1-4-1,Jesus Lopez,Match Report,,5,2,19,1,0,0,2024,Monterrey,
11,05/10/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,1,Atlético,0.9,0.5,56,,Sergio Canales,4-2-3-1,03/05/2002,Víctor Cáceres,Match Report,,17,1,18.4,0,0,0,2024,Monterrey,
